#Study : ASU&adidas Session 1 - High
#Date : 20170917 21:33:01
#Version : 6.4.8223.4
#TestRunDate : 20170826 14:04:47.708 (-07:00)
#Tracker : Model-Tobii X2 @60Hz, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1200}, Distance(Resp)-70cm 

StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704034				13618723	1412531.25	2742	3993.47692307692	1143	56.6816306171496	17.6424	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704050				13618979	1412539.0625	2739	3989.10769230769	1143	56.6816306171496	17.6424	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704053				13619235	1412546.875	2727	3971.63076923077	1143	56.6816306171496	17.6424	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704053				13619491	1412554.6875	2737	3986.19487179487	1143	56.6816306171496	17.6424	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704065				13619747	1412562.5	2750	4005.1282051282	1143	56.6816306171496	17.6424	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704076				13620003	1412570.3125	2742	3993.47692307692	1142	56.8017222282179	17.6051	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704084				13620259	1412578.125	2747	4000.75897435897	1142	56.8017222282179	17.6051	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704114				13620515	1412585.9375	2737	3986.19487179487	1142	56.8017222282179	17.6051	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704114				13620771	1412593.75	2748	4002.21538461538	1142	56.8017222282179	17.6051	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704120				13621027	1412601.5625	2751	4006.58461538462	1142	56.8017222282179	17.6051	100	VALID						
